Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_GW,Vph1_Num_wells_GW,Vph1_penetrance_GW,Vph1_class E_GW,Vph1_class G_GW,Vph1_enlarged_GW,Vph1_fragmented_GW,Vph1_multilobed_GW,Vph1_V-ATPase defect_GW,Vph1_WT_GW,Vph1_none_GW,Snf7_Num_cells_GW,Snf7_Num_wells_GW,Snf7_penetrance_GW,Snf7_condensed_GW,Snf7_fragmented_GW,Snf7_membrane_GW,Snf7_WT_GW,Snf7_none_GW,Sla1_Num_cells_GW,Sla1_Num_wells_GW,Sla1_penetrance_GW,Sla1_aggregate_GW,Sla1_decreased patch number_GW,Sla1_depolarized patches_GW,Sla1_increased patch number_GW,Sla1_WT_GW,Sla1_none_GW,Sac6_Num_cells_GW,Sac6_Num_wells_GW,Sac6_penetrance_GW,Sac6_aggregate_GW,Sac6_bright patches_GW,Sac6_decreased patch number_GW,Sac6_depolarized patches_GW,Sac6_WT_GW,Sac6_none_GW
YEL054C,RPL12A,,DMA-SLOW142,,287,2,11.5,0.007,0.003,0.01,0.045,0.042,0.007,0.885,0,496,4,37.3,0.097,0.044,0.163,0.627,0.069,224,2,14.3,0.031,0.098,0.009,0.004,0.857,0,197,2,15.7,0.036,0.036,0.036,0.051,0.843,0
YEL051W,VMA8,,DMA-SLOW143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEL050C,RML2,,DMA-SLOW144,,40,1,15,0.05,0,0,0.025,0.075,0,0.85,0,22,2,68.2,0.273,0.364,0.045,0.318,0,,,,,,,,,,,,,,,,,,
YGL033W,HOP2,,DMA-SLOW145,,66,1,36.4,0,0,0.212,0.03,0.106,0.015,0.636,0,,,,,,,,,198,2,29.8,0.035,0.222,0.04,0,0.702,0,,,,,,,,,
YGL025C,PGD1,,DMA-SLOW146,,113,2,38.9,0.035,0.009,0,0.053,0.292,0,0.611,0,17,1,58.8,0.059,0,0.529,0.412,0,4,1,100,0.25,0.25,0.5,0,0,0,4,1,100,0.25,0,0.25,0.5,0,0
YGL003C,CDH1,,DMA-SLOW147,,68,1,52.9,0.103,0,0.059,0.029,0.294,0.044,0.471,0,46,1,50,0.109,0.043,0.304,0.5,0.043,74,3,32.4,0.041,0.176,0.081,0.027,0.676,0,9,1,44.4,0,0.111,0.333,0,0.556,0
YFR001W,LOC1,,DMA-SLOW148,,123,2,13.8,0.016,0.008,0,0.041,0.065,0.008,0.862,0,332,5,55.4,0.093,0.063,0.334,0.446,0.063,21,1,19,0.048,0,0.095,0,0.81,0.048,22,1,36.4,0,0.227,0,0.091,0.636,0.045
YER169W,RPH1,,DMA-SLOW149,,140,1,14.3,0.043,0.014,0.007,0.021,0.05,0.007,0.857,0,176,2,31.3,0.125,0.165,0.011,0.688,0.011,289,1,14.2,0.017,0.093,0.014,0.014,0.858,0.003,272,1,11.8,0,0.015,0.048,0.055,0.882,0
YBR035C,PDX3,,DMA-SLOW15,,155,1,11.6,0.006,0,0,0.032,0.071,0.006,0.884,0,138,3,22.5,0.072,0.043,0.065,0.775,0.043,42,1,16.7,0.048,0.024,0.048,0.048,0.833,0,47,1,12.8,0,0,0.043,0.085,0.872,0
YER154W,OXA1,,DMA-SLOW150,,270,1,5.9,0.004,0,0,0.015,0.026,0.015,0.941,0,78,1,19.2,0.09,0.077,0,0.808,0.026,70,1,21.4,0.043,0.143,0.014,0.014,0.786,0,73,1,16.4,0.027,0,0.082,0.055,0.836,0
