Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_GW,Vph1_Num_wells_GW,Vph1_penetrance_GW,Vph1_class E_GW,Vph1_class G_GW,Vph1_enlarged_GW,Vph1_fragmented_GW,Vph1_multilobed_GW,Vph1_V-ATPase defect_GW,Vph1_WT_GW,Vph1_none_GW,Snf7_Num_cells_GW,Snf7_Num_wells_GW,Snf7_penetrance_GW,Snf7_condensed_GW,Snf7_fragmented_GW,Snf7_membrane_GW,Snf7_WT_GW,Snf7_none_GW,Sla1_Num_cells_GW,Sla1_Num_wells_GW,Sla1_penetrance_GW,Sla1_aggregate_GW,Sla1_decreased patch number_GW,Sla1_depolarized patches_GW,Sla1_increased patch number_GW,Sla1_WT_GW,Sla1_none_GW,Sac6_Num_cells_GW,Sac6_Num_wells_GW,Sac6_penetrance_GW,Sac6_aggregate_GW,Sac6_bright patches_GW,Sac6_decreased patch number_GW,Sac6_depolarized patches_GW,Sac6_WT_GW,Sac6_none_GW
YPR001W,CIT3,,DMA5027,,235,1,16.6,0.043,0.013,0.017,0.047,0.034,0.013,0.834,0,181,1,34.3,0.028,0.11,0.155,0.657,0.05,96,1,12.5,0.052,0.031,0,0.042,0.875,0,84,1,16.7,0.012,0.012,0.036,0.095,0.833,0.012
YPR028W,YOP1,,DMA5029,,295,1,10.8,0.02,0.003,0.017,0.017,0.037,0.014,0.892,0,263,1,17.9,0.068,0.053,0.038,0.821,0.019,68,1,20.6,0.029,0.074,0.044,0.044,0.794,0.015,68,1,29.4,0.059,0.015,0.044,0.176,0.706,0
YCL026C-A,FRM2,,DMA503,,184,1,17.4,0.005,0.011,0.033,0.033,0.076,0.016,0.826,0,122,1,22.1,0.057,0.098,0.033,0.779,0.033,110,1,16.4,0.018,0.118,0,0.027,0.836,0,99,1,7.1,0.02,0.01,0.01,0.03,0.929,0
YPR027C,,,DMA5030,,170,1,22.9,0.053,0.006,0.041,0.024,0.088,0.018,0.771,0,130,1,30.8,0.131,0.077,0.069,0.692,0.031,139,1,19.4,0.029,0.094,0.014,0.05,0.806,0.007,129,1,17.1,0.008,0.008,0.039,0.109,0.829,0.008
YPR026W,ATH1,,DMA5031,,89,1,20.2,0.045,0,0.034,0.056,0.067,0,0.798,0,74,1,24.3,0.095,0.081,0.054,0.757,0.014,148,1,14.2,0.034,0.068,0.02,0.007,0.858,0.014,133,1,12.8,0.023,0,0.008,0.098,0.872,0
YPR024W,YME1,,DMA5032,,54,2,22.2,0.019,0,0.13,0.037,0.019,0.019,0.778,0,419,3,23.9,0.055,0.057,0.088,0.761,0.038,,,,,,,,,,,,,,,,,,
YPR023C,EAF3,,DMA5033,,635,5,26.6,0.033,0.003,0.088,0.08,0.044,0.017,0.734,0,192,2,39.1,0.156,0.036,0.156,0.609,0.042,256,3,18.8,0.07,0.039,0.023,0.055,0.813,0,224,3,20.5,0.031,0.054,0.045,0.076,0.795,0
YPR022C,,,DMA5034,,160,1,13.1,0.031,0,0.019,0.044,0.019,0.019,0.869,0,101,1,23.8,0.04,0.099,0.05,0.762,0.05,173,1,10.4,0.052,0.023,0.012,0.012,0.896,0.006,149,1,14.8,0.04,0.02,0.027,0.054,0.852,0.007
YPR020W,ATP20,,DMA5035,,175,2,15.4,0.011,0,0.04,0.029,0.057,0.011,0.846,0.006,112,2,27.7,0.098,0.098,0.071,0.723,0.009,110,1,13.6,0.027,0.064,0.009,0.018,0.864,0.018,101,1,20.8,0.059,0.03,0.01,0.099,0.792,0.01
YPR018W,RLF2,,DMA5036,,377,4,36.1,0.05,0.003,0.045,0.048,0.191,0.021,0.639,0.003,244,4,23.8,0.082,0.066,0.049,0.762,0.041,272,3,18.4,0.015,0.063,0.059,0.037,0.816,0.011,248,3,25.8,0.024,0.02,0.093,0.117,0.742,0.004
YPR017C,DSS4,,DMA5037,,114,1,22.8,0.009,0.018,0.035,0.044,0.07,0.053,0.772,0,356,2,26.4,0.039,0.14,0.051,0.736,0.034,506,2,22.7,0.032,0.14,0.018,0.036,0.773,0.002,465,2,15.1,0.024,0.019,0.041,0.06,0.849,0.006
YPR015C,,,DMA5038,,84,1,16.7,0.048,0.012,0.012,0.036,0.024,0.036,0.833,0,175,1,28,0.04,0.057,0.109,0.72,0.074,161,1,10.6,0.037,0.019,0.012,0.031,0.894,0.006,149,1,17.4,0.04,0.054,0.013,0.067,0.826,0
YPR014C,,,DMA5039,,132,1,25.8,0.053,0.023,0.053,0.045,0.045,0.038,0.742,0,166,1,23.5,0.084,0.072,0.048,0.765,0.03,143,1,12.6,0.056,0.028,0.007,0.028,0.874,0.007,134,1,14.9,0.015,0.022,0.037,0.075,0.851,0
YCL026C,,,DMA504,,390,2,18.7,0.01,0.003,0.038,0.067,0.062,0.008,0.813,0,453,2,29.4,0.079,0.071,0.099,0.706,0.044,353,2,26.6,0.031,0.159,0.006,0.054,0.734,0.017,317,2,18.3,0.041,0.019,0.05,0.066,0.817,0.006
YPR045C,THP3,,DMA5041,,143,1,22.4,0.035,0.007,0,0.035,0.119,0.028,0.776,0,130,1,23.8,0.023,0.023,0.169,0.762,0.023,57,2,22.8,0.14,0.035,0.018,0.035,0.772,0,42,1,14.3,0,0,0.071,0.071,0.857,0
YPR044C,OPI11,,DMA5042,,,,,,,,,,,,,8,1,25,0.125,0.125,0,0.75,0,111,2,27.9,0.063,0.063,0.045,0.108,0.721,0,101,2,21.8,0.01,0.02,0.089,0.099,0.782,0
YPR043W,RPL43A,,DMA5043,,104,2,28.8,0.029,0.01,0.058,0.058,0.125,0.01,0.712,0,155,2,43.2,0.09,0.077,0.181,0.568,0.084,43,1,27.9,0.047,0.023,0.047,0.163,0.721,0,43,1,18.6,0,0.023,0.093,0.07,0.814,0
YPR042C,PUF2,,DMA5044,,121,1,25.6,0.058,0.008,0.058,0.041,0.058,0.033,0.744,0,148,1,18.2,0.081,0,0.054,0.818,0.047,142,1,19.7,0.028,0.106,0.028,0.035,0.803,0,137,1,27,0.029,0.007,0.066,0.153,0.73,0.015
YPR040W,TIP41,,DMA5045,,195,2,15.9,0.031,0.01,0.021,0.021,0.062,0.015,0.841,0,73,2,30.1,0.11,0.055,0.096,0.699,0.041,75,1,12,0,0.093,0,0.027,0.88,0,73,1,35.6,0.014,0.068,0.137,0.123,0.644,0.014
YPR038W,IRC16,,DMA5046,,145,1,19.3,0.048,0.007,0.021,0.041,0.062,0.014,0.807,0,93,1,32.3,0.118,0.151,0.032,0.677,0.022,144,1,11.1,0.007,0.049,0.007,0.035,0.889,0.014,131,1,18.3,0,0.015,0.076,0.084,0.817,0.008
YPR037C,ERV2,,DMA5047,,141,1,14.2,0.043,0,0.014,0.043,0.043,0,0.858,0,91,1,20.9,0.055,0.066,0.066,0.791,0.022,208,1,11.5,0.014,0.048,0.014,0.034,0.885,0.005,201,1,15.4,0.05,0.02,0.005,0.075,0.846,0.005
YPR032W,SRO7,,DMA5048,,334,2,16.5,0.018,0.009,0.009,0.066,0.054,0.009,0.835,0,129,2,41.1,0.062,0.039,0.225,0.589,0.085,78,1,12.8,0.064,0.038,0,0.026,0.872,0,72,1,18.1,0,0.083,0.042,0.056,0.819,0
YPR031W,NTO1,,DMA5049,,116,1,18.1,0.043,0,0.017,0.06,0.043,0.017,0.819,0,120,1,18.3,0.042,0.058,0.025,0.817,0.058,102,1,12.7,0.029,0.029,0.01,0.059,0.873,0,58,1,17.2,0,0.052,0.017,0.103,0.828,0
YPR030W,CSR2,,DMA5050,,268,1,16.4,0.015,0.015,0.034,0.063,0.022,0.015,0.836,0,34,1,17.6,0.118,0.029,0.029,0.824,0,167,1,16.8,0.024,0.066,0.036,0.042,0.832,0,151,1,20.5,0.033,0.06,0.02,0.086,0.795,0.007
YPR029C,APL4,,DMA5051,,833,4,23,0.038,0.017,0.044,0.043,0.082,0.005,0.77,0.001,451,3,37.3,0.275,0.042,0.024,0.627,0.031,395,2,34.7,0.122,0.048,0.028,0.134,0.653,0.015,106,1,16,0.038,0.019,0.028,0.066,0.84,0.009
YPR061C,JID1,,DMA5053,,167,1,18.6,0.03,0.018,0.036,0.036,0.048,0.018,0.814,0,300,2,22.7,0.13,0.057,0.023,0.773,0.017,246,2,16.7,0.012,0.126,0.024,0.004,0.833,0,210,2,23.8,0.024,0.01,0.138,0.062,0.762,0.005
YPR060C,ARO7,,DMA5054,,15,1,33.3,0,0,0.067,0.067,0.067,0.133,0.667,0,30,2,70,0.067,0.567,0.033,0.3,0.033,,,,,,,,,,,,,,,,,,
YPR059C,,,DMA5055,,192,1,15.1,0.047,0,0.021,0.026,0.052,0.005,0.849,0,103,1,24.3,0.097,0.058,0.058,0.757,0.029,106,1,22.6,0.028,0.094,0.075,0.028,0.774,0,91,1,27.5,0.022,0.033,0.088,0.132,0.725,0
YPR058W,YMC1,,DMA5056,,173,1,19.1,0.023,0,0.029,0.075,0.052,0.012,0.809,0,108,2,17.6,0.037,0.083,0.046,0.824,0.009,295,2,13.2,0.037,0.054,0.017,0.02,0.868,0.003,271,2,19.2,0.015,0.026,0.052,0.092,0.808,0.007
YPR057W,BRR1,,DMA5057,,152,2,40.8,0.033,0,0.322,0.013,0.026,0.013,0.592,0,333,3,34.8,0.078,0.093,0.123,0.652,0.054,195,2,7.2,0.005,0.046,0,0.01,0.928,0.01,174,2,14.4,0.023,0.034,0.017,0.063,0.856,0.006
YPR054W,SMK1,,DMA5058,,76,1,22.4,0.026,0,0.026,0.105,0.026,0.039,0.776,0,167,1,22.2,0.072,0.096,0.048,0.778,0.006,105,1,9.5,0.038,0.01,0.01,0.038,0.905,0,105,1,15.2,0.019,0.01,0.038,0.067,0.848,0.019
YPR053C,,,DMA5059,,167,1,16.8,0.036,0.006,0.006,0.036,0.06,0.024,0.832,0,106,1,20.8,0.057,0.085,0.019,0.792,0.047,70,1,18.6,0.071,0.086,0.014,0.014,0.814,0,67,1,34.3,0.03,0.09,0.119,0.104,0.657,0
YCL049C,,,DMA506,,323,1,11.5,0.009,0.009,0.019,0.025,0.05,0.003,0.885,0,121,1,25.6,0.058,0.033,0.132,0.744,0.033,25,1,24,0.04,0.2,0,0,0.76,0,26,1,11.5,0,0,0.077,0.038,0.885,0
YPR052C,NHP6A,,DMA5060,,235,1,14.9,0.021,0.009,0.013,0.021,0.077,0.009,0.851,0,151,1,16.6,0.04,0.06,0.04,0.834,0.026,75,1,32,0.067,0.093,0.08,0.053,0.68,0.027,67,1,26.9,0.104,0.045,0.045,0.075,0.731,0
YPR051W,MAK3,,DMA5061,,204,2,28.4,0.025,0,0.054,0.098,0.093,0.015,0.716,0,289,3,42.6,0.294,0.076,0.021,0.574,0.035,146,1,14.4,0.041,0.075,0,0.027,0.856,0,138,1,18.8,0.014,0.022,0.094,0.058,0.812,0
YPR050C,,,DMA5062,,354,2,17.5,0.014,0.003,0.014,0.056,0.062,0.023,0.825,0.003,65,2,27.7,0.123,0.062,0.046,0.723,0.046,191,1,12,0.037,0.052,0.016,0.01,0.88,0.005,177,1,19.8,0.04,0.011,0.045,0.09,0.802,0.011
YPR046W,MCM16,,DMA5063,,275,1,16,0.025,0,0.036,0.051,0.036,0.011,0.84,0,93,1,15.1,0.065,0.022,0.032,0.849,0.032,177,1,12.4,0.04,0.045,0.006,0.028,0.876,0.006,153,1,18.3,0.033,0.02,0.039,0.092,0.817,0
YPR074C,TKL1,,DMA5065,,104,1,29.8,0.048,0.01,0,0.087,0.135,0.01,0.702,0.01,334,2,31.4,0.027,0.09,0.165,0.686,0.033,18,1,33.3,0,0.278,0.056,0,0.667,0,18,1,44.4,0,0,0.333,0.111,0.556,0
YPR073C,LTP1,,DMA5066,,132,1,19.7,0.045,0,0.038,0.045,0.061,0.008,0.803,0,150,1,28.7,0.08,0.053,0.113,0.713,0.04,111,1,17.1,0.009,0.108,0.027,0.018,0.829,0.009,110,1,12.7,0.009,0.009,0.073,0.036,0.873,0
YPR071W,,,DMA5067,,185,1,28.6,0.032,0.011,0.016,0.076,0.151,0,0.714,0,350,3,32,0.077,0.089,0.117,0.68,0.037,260,2,14.2,0.023,0.081,0.008,0.027,0.858,0.004,233,2,18,0.043,0.026,0.047,0.06,0.82,0.004
YPR070W,MED1,,DMA5068,,228,5,18.9,0.018,0.004,0.061,0.044,0.057,0,0.811,0.004,400,5,24.8,0.063,0.058,0.08,0.753,0.048,247,4,23.1,0.065,0.085,0.032,0.036,0.769,0.012,218,4,25.7,0.018,0.028,0.064,0.133,0.743,0.014
YPR069C,SPE3,,DMA5069,,,,,,,,,,,,,33,1,60.6,0.364,0.061,0.121,0.394,0.061,,,,,,,,,,,,,,,,,,
YCL048W,SPS22,,DMA507,,622,3,26.5,0.024,0.006,0.069,0.058,0.1,0.008,0.735,0,391,3,26.6,0.049,0.141,0.031,0.734,0.046,99,2,17.2,0.04,0.061,0.02,0.04,0.828,0.01,90,2,24.4,0.078,0.056,0.022,0.078,0.756,0.011
YPR068C,HOS1,,DMA5070,,83,1,32.5,0.072,0,0.048,0.048,0.12,0.036,0.675,0,140,1,23.6,0.064,0.107,0.043,0.764,0.021,68,1,25,0.059,0.088,0.029,0.059,0.75,0.015,62,1,12.9,0.048,0.048,0.016,0.016,0.871,0
YPR066W,UBA3,,DMA5071,,175,1,11.4,0.023,0.006,0.023,0.034,0.029,0,0.886,0,499,3,16.8,0.04,0.06,0.052,0.832,0.016,470,2,17.2,0.028,0.098,0.009,0.036,0.828,0.002,424,2,15.8,0.021,0.019,0.028,0.087,0.842,0.002
YPR065W,ROX1,,DMA5072,,175,1,27.4,0.063,0,0.029,0.051,0.091,0.04,0.726,0,114,1,27.2,0.088,0.123,0.018,0.728,0.044,151,1,15.2,0.04,0.04,0.033,0.033,0.848,0.007,142,1,19,0.014,0.021,0.056,0.099,0.81,0
YPR064W,,,DMA5073,,330,2,23,0.052,0.003,0.024,0.036,0.091,0.024,0.77,0,81,2,24.7,0.086,0.012,0.062,0.753,0.086,127,1,12.6,0.031,0.024,0.016,0.047,0.874,0.008,122,1,16.4,0.016,0.033,0.041,0.066,0.836,0.008
YPR063C,,,DMA5074,,350,2,24.9,0.029,0.003,0.163,0.017,0.023,0.014,0.751,0,134,1,24.6,0.075,0.104,0.045,0.754,0.022,142,1,19.7,0.063,0.07,0.021,0.042,0.803,0,134,1,14.2,0.015,0.022,0.03,0.075,0.858,0
YPR062W,FCY1,,DMA5075,,453,3,23.4,0.04,0.009,0.057,0.029,0.071,0.029,0.766,0,496,3,45,0.353,0.024,0.034,0.55,0.038,338,2,24.3,0.062,0.08,0.021,0.062,0.757,0.018,132,1,15.2,0,0.038,0.03,0.076,0.848,0.008
YPR095C,SYT1,,DMA5077,,494,3,31,0.026,0.004,0.168,0.065,0.038,0.006,0.69,0.002,206,2,24.3,0.102,0.019,0.063,0.757,0.058,55,1,14.5,0,0.091,0.018,0.036,0.855,0,45,1,13.3,0.022,0,0.067,0.044,0.867,0
YPR093C,ASR1,,DMA5078,,204,1,14.2,0.044,0,0.025,0.054,0.015,0.005,0.858,0,332,1,22.9,0.09,0.057,0.045,0.771,0.036,141,1,19.1,0.043,0.135,0,0.014,0.809,0,129,1,23.3,0.023,0.016,0.085,0.093,0.767,0.016
YPR092W,,,DMA5079,,174,1,23,0.052,0.011,0.057,0.063,0.023,0.023,0.77,0,278,1,25.2,0.119,0.068,0.036,0.748,0.029,164,1,18.3,0.043,0.073,0.024,0.043,0.817,0,145,1,18.6,0.007,0.041,0.083,0.048,0.814,0.007
YCL047C,POF1,,DMA508,,413,1,16.5,0.017,0.01,0.022,0.051,0.063,0,0.835,0.002,222,1,22.1,0.104,0.054,0.023,0.779,0.041,39,1,25.6,0,0.205,0.026,0.026,0.744,0,34,1,17.6,0.029,0,0.029,0.118,0.824,0
YPR090W,,,DMA5080,,366,1,11.7,0.016,0.008,0.016,0.036,0.033,0.008,0.883,0,157,1,29.9,0.159,0.038,0.051,0.701,0.051,102,1,11.8,0.029,0.059,0.02,0.01,0.882,0,93,1,22.6,0.075,0.022,0.043,0.086,0.774,0
YPR089W,,,DMA5081,,540,3,34.6,0.015,0.002,0.215,0.054,0.056,0.006,0.654,0,237,2,33.8,0.165,0.08,0.034,0.662,0.059,145,1,17.2,0.021,0.09,0.028,0.034,0.828,0,135,1,13.3,0.03,0.007,0.015,0.081,0.867,0
YPR084W,,,DMA5082,,158,1,14.6,0.032,0.006,0.006,0.019,0.07,0.013,0.854,0,201,1,20.4,0.095,0.055,0.035,0.796,0.02,110,1,13.6,0.018,0.064,0,0.055,0.864,0,101,1,30.7,0.05,0.01,0.069,0.168,0.693,0.01
YPR079W,MRL1,,DMA5083,,519,2,23.7,0.048,0.008,0.064,0.058,0.044,0.015,0.763,0,221,2,37.6,0.086,0.077,0.163,0.624,0.05,117,1,13.7,0.009,0.085,0.009,0.034,0.863,0,109,1,17.4,0.028,0,0.064,0.083,0.826,0
YPR078C,,,DMA5084,,190,1,18.9,0.053,0.005,0.005,0.032,0.079,0.016,0.811,0,117,1,23.9,0.077,0.085,0.068,0.761,0.009,205,1,10.2,0.02,0.029,0.015,0.029,0.898,0.01,191,1,23,0.026,0.031,0.063,0.105,0.77,0.005
YPR077C,,,DMA5085,,102,2,62.7,0.01,0,0.02,0.049,0.108,0.441,0.373,0,125,1,56.8,0.48,0.04,0.024,0.432,0.024,113,1,18.6,0.062,0.044,0.044,0.027,0.814,0.009,106,1,22.6,0.038,0.028,0.075,0.075,0.774,0.009
YPR076W,,,DMA5086,,477,2,17.4,0.038,0.004,0.023,0.04,0.05,0.019,0.826,0,397,2,24.7,0.023,0.139,0.043,0.753,0.043,431,2,17.2,0.037,0.058,0.019,0.056,0.828,0.002,397,2,11.8,0.03,0.02,0.028,0.035,0.882,0.005
YPR075C,OPY2,,DMA5087,,284,1,11.3,0.021,0.004,0.018,0.028,0.035,0.007,0.887,0,309,1,30.1,0.049,0.045,0.165,0.699,0.042,106,1,13.2,0.019,0.038,0.028,0.047,0.868,0,103,1,18.4,0.039,0.019,0.049,0.078,0.816,0
YCL046W,,,DMA509,,676,1,18,0.015,0.019,0.022,0.041,0.075,0.007,0.82,0,133,1,30.1,0.105,0.135,0.023,0.699,0.038,25,1,20,0.04,0.16,0,0,0.8,0,29,1,24.1,0,0.034,0.069,0.103,0.759,0.034
YAL064C-A,TDA8,,DMA51,,101,1,12.9,0.04,0,0.01,0.01,0.069,0,0.871,0,85,1,30.6,0.165,0.106,0.012,0.694,0.024,30,1,23.3,0,0.2,0.033,0,0.767,0,30,1,26.7,0,0,0.133,0.133,0.733,0
YCL045C,EMC1,,DMA510,,192,1,18.8,0.021,0.01,0.01,0.052,0.089,0.005,0.813,0,99,1,21.2,0.03,0.061,0.091,0.788,0.03,43,1,23.3,0,0.186,0,0.023,0.767,0.023,43,1,27.9,0.047,0.023,0.047,0.163,0.721,0
YPR120C,CLB5,,DMA5102,,332,3,41,0.036,0.03,0.018,0.072,0.25,0.003,0.59,0,333,4,23.1,0.078,0.087,0.051,0.769,0.015,185,4,47,0.022,0.314,0.076,0.054,0.53,0.005,84,2,36.9,0,0.024,0.119,0.202,0.631,0.024
YPR119W,CLB2,,DMA5103,,199,2,39.2,0.085,0,0.05,0.02,0.206,0.03,0.608,0,180,2,23.9,0.161,0.044,0.017,0.761,0.017,73,1,20.5,0,0.164,0.041,0,0.795,0,64,1,20.3,0,0.016,0.063,0.125,0.797,0
YPR117W,,,DMA5104,,118,1,17.8,0.034,0,0.025,0.025,0.068,0.025,0.822,0,220,1,25.5,0.041,0.018,0.177,0.745,0.018,129,1,14,0.039,0.062,0.023,0.016,0.86,0,121,1,16.5,0.017,0.025,0.033,0.091,0.835,0
YPR115W,RGC1,,DMA5105,,216,1,9.7,0.014,0,0.056,0.014,0.014,0,0.903,0,601,3,28.6,0.047,0.08,0.1,0.714,0.06,437,2,19.2,0.041,0.082,0.025,0.043,0.808,0,382,2,20.2,0.024,0.026,0.047,0.102,0.798,0.003
YPR114W,,,DMA5106,,201,1,14.4,0.045,0.005,0.02,0.055,0.02,0,0.856,0,191,1,25.1,0.073,0.052,0.079,0.749,0.047,82,1,13.4,0.012,0.073,0.012,0.024,0.866,0.012,69,1,17.4,0.014,0.058,0.043,0.058,0.826,0
YPR111W,DBF20,,DMA5107,,210,1,16.7,0.033,0.01,0.019,0.052,0.048,0.005,0.833,0,324,1,22.5,0.068,0.114,0.025,0.775,0.019,137,1,11.7,0.066,0.029,0,0.015,0.883,0.007,127,1,18.1,0.024,0.024,0.039,0.094,0.819,0
YPR109W,,,DMA5108,,531,2,14.5,0.028,0.004,0.024,0.036,0.045,0.008,0.855,0,360,2,30.8,0.064,0.05,0.147,0.692,0.047,137,1,10.9,0.044,0.022,0.007,0.022,0.891,0.015,123,1,13.8,0.049,0,0.016,0.073,0.862,0
YPR106W,ISR1,,DMA5109,,201,1,11.9,0.03,0.01,0.005,0.03,0.03,0.01,0.881,0.005,241,1,40.2,0.058,0.1,0.216,0.598,0.029,192,1,9.9,0.021,0.005,0.016,0.052,0.901,0.005,171,1,17.5,0.047,0.023,0.018,0.082,0.825,0.006
YCL044C,MGR1,,DMA511,,399,1,16.3,0.023,0.008,0.013,0.063,0.055,0.003,0.837,0,140,1,31.4,0.129,0.129,0.029,0.686,0.029,73,1,15.1,0.014,0.11,0.027,0,0.849,0,71,1,16.9,0.014,0.042,0.028,0.085,0.831,0
YPR098C,,,DMA5110,,257,1,20.6,0.027,0.016,0.047,0.035,0.07,0.012,0.794,0,468,3,25.4,0.045,0.126,0.06,0.746,0.024,400,2,13.3,0.035,0.048,0.02,0.028,0.868,0.003,368,2,17.1,0.033,0.016,0.03,0.082,0.829,0.011
YPR097W,,,DMA5111,,237,1,17.3,0.034,0.008,0.017,0.042,0.055,0.017,0.827,0,226,1,27,0.049,0.08,0.08,0.73,0.062,189,1,11.1,0.037,0.026,0,0.042,0.889,0.005,174,1,13.2,0.006,0.023,0.006,0.098,0.868,0
YPR096C,,,DMA5112,,359,1,14.8,0.025,0.006,0.017,0.067,0.022,0.011,0.852,0,127,1,22,0.063,0.055,0.087,0.78,0.016,145,1,17.2,0.034,0.048,0.007,0.076,0.828,0.007,124,1,13.7,0.032,0.04,0.016,0.04,0.863,0.008
YPR134W,MSS18,,DMA5114,,228,1,12.7,0.039,0.004,0.004,0.035,0.035,0.009,0.873,0,99,1,22.2,0.01,0.152,0.03,0.778,0.03,60,1,23.3,0.033,0.133,0.033,0.033,0.767,0,60,1,18.3,0.033,0,0.083,0.067,0.817,0
YPR132W,RPS23B,,DMA5115,,395,2,16.2,0.018,0.013,0.018,0.041,0.063,0.01,0.838,0,311,2,25.4,0.035,0.039,0.135,0.746,0.045,89,1,13.5,0.034,0.09,0.011,0,0.865,0,84,1,22.6,0.012,0.036,0.071,0.107,0.774,0
YPR130C,,,DMA5116,,146,1,26.7,0.062,0.021,0.027,0.027,0.116,0.014,0.733,0,149,1,26.8,0.074,0.114,0.067,0.732,0.013,69,1,10.1,0.043,0.014,0.029,0.014,0.899,0,68,1,23.5,0,0.015,0.074,0.147,0.765,0
YPR129W,SCD6,,DMA5117,,136,1,38.2,0.044,0,0.037,0.132,0.125,0.044,0.618,0,116,1,27.6,0.06,0.121,0.06,0.724,0.034,96,1,12.5,0.021,0.052,0.021,0.021,0.875,0.01,82,1,22,0.037,0.024,0.073,0.085,0.78,0
YPR128C,ANT1,,DMA5118,,208,1,22.1,0.019,0,0.019,0.048,0.115,0.019,0.779,0,327,1,22,0.113,0.055,0.031,0.78,0.021,160,1,10,0.025,0.044,0.006,0.019,0.9,0.006,163,1,16,0.006,0.049,0.061,0.043,0.84,0
YPR127W,,,DMA5119,,185,1,22.7,0.043,0,0.032,0.049,0.059,0.038,0.773,0.005,204,1,27.9,0.108,0.054,0.064,0.721,0.054,199,1,12.6,0.03,0.065,0.025,0.005,0.874,0,174,1,21.8,0.011,0.006,0.075,0.115,0.782,0.011
YCL042W,,,DMA512,,545,1,13,0.007,0.004,0.022,0.04,0.055,0.002,0.87,0,12,1,33.3,0.167,0,0.167,0.667,0,62,1,24.2,0,0.21,0.016,0.016,0.758,0,67,1,16.4,0,0.03,0.06,0.06,0.836,0.015
YPR126C,,,DMA5120,,261,1,36,0.019,0.011,0.011,0.054,0.249,0.015,0.64,0,302,1,24.2,0.073,0.083,0.056,0.758,0.03,149,1,18.8,0.027,0.128,0.013,0.02,0.812,0,133,1,18,0.023,0.015,0.068,0.06,0.82,0.015
YPR125W,YLH47,,DMA5121,,316,1,14.9,0.022,0.003,0.003,0.025,0.092,0.003,0.851,0,217,1,21.7,0.06,0.069,0.06,0.783,0.028,152,1,11.8,0.013,0.046,0.013,0.046,0.882,0,142,1,16.9,0.021,0.035,0.042,0.07,0.831,0
YPR123C,,,DMA5122,,291,1,18.6,0.014,0.014,0.017,0.062,0.065,0.014,0.814,0,157,1,17.8,0.051,0.045,0.057,0.822,0.025,158,1,12,0.038,0.044,0.013,0.013,0.88,0.013,142,1,16.9,0.042,0.021,0.014,0.085,0.831,0.007
YPR122W,AXL1,,DMA5123,,373,2,11.5,0.011,0.005,0.019,0.029,0.048,0.003,0.885,0,282,2,34.4,0.064,0.082,0.16,0.656,0.039,302,2,14.2,0.063,0.03,0.013,0.026,0.858,0.01,267,2,16.1,0.037,0.03,0.045,0.049,0.839,0
YPR121W,THI22,,DMA5124,,189,1,12.7,0.021,0,0.021,0.016,0.048,0.021,0.873,0,327,1,22.3,0.064,0.092,0.04,0.777,0.028,106,1,16,0.066,0.009,0.028,0.057,0.84,0,95,1,11.6,0.021,0,0.053,0.042,0.884,0
YPR152C,URN1,,DMA5126,,190,1,12.6,0.037,0.011,0.021,0.011,0.032,0.016,0.874,0,194,1,40.2,0.258,0.072,0.057,0.598,0.015,42,1,19,0.048,0.095,0.048,0,0.81,0,40,1,30,0.025,0.025,0.125,0.125,0.7,0
YPR150W,,,DMA5127,,336,1,25.9,0.042,0.006,0.021,0.042,0.134,0.015,0.741,0,243,1,25.9,0.082,0.095,0.041,0.741,0.041,104,1,14.4,0.029,0.087,0.019,0.01,0.856,0,94,1,19.1,0.053,0.021,0.053,0.064,0.809,0
YPR149W,NCE102,,DMA5128,,320,1,13.1,0.028,0.009,0.006,0.044,0.038,0.003,0.869,0.003,223,1,27.4,0.112,0.076,0.036,0.726,0.049,143,1,14.7,0.014,0.098,0.028,0,0.853,0.007,136,1,12.5,0.015,0.015,0.044,0.051,0.875,0
YPR148C,,,DMA5129,,204,1,12.3,0.02,0.01,0.01,0.049,0.034,0,0.877,0,181,1,35.9,0.271,0.05,0.011,0.641,0.028,143,1,11.2,0.021,0.049,0.021,0.014,0.888,0.007,134,1,15.7,0.022,0.022,0.06,0.052,0.843,0
YCL040W,GLK1,,DMA513,,236,2,43.2,0.025,0.008,0.072,0.127,0.093,0.106,0.568,0,66,1,37.9,0.182,0.106,0.045,0.621,0.045,88,1,20.5,0.011,0.182,0.011,0,0.795,0,81,1,19.8,0.037,0,0.074,0.086,0.802,0
YPR147C,,,DMA5130,,242,1,12.8,0.029,0.004,0.004,0.054,0.029,0.008,0.872,0,156,1,21.8,0.103,0.058,0.026,0.782,0.032,210,1,11.9,0.043,0.033,0.014,0.029,0.881,0,197,1,19.3,0.02,0.015,0.046,0.112,0.807,0
YPR146C,,,DMA5131,,372,2,15.6,0.027,0.011,0.008,0.032,0.075,0.003,0.844,0,262,2,22.5,0.076,0.076,0.042,0.775,0.031,136,1,14.7,0.029,0.044,0.022,0.037,0.853,0.015,125,1,12.8,0.016,0.032,0.008,0.072,0.872,0
