Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YBR261C,TAE1,,DMA427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR055C,HOL1,,DMA4270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR051C,BRE5,,DMA4271,,856,2,21.3,0.016,0.005,0.016,0.046,0.127,0.002,0.787,0,175,2,34.9,0.086,0.194,0.029,0.651,0.04,975,2,16.1,0.024,0.004,0,0.131,0.839,0.002,1086,2,18.3,0.008,0.065,0.03,0.078,0.817,0.001
YOL002C,IZH2,,DMA4273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL001W,PHO80,,DMA4274,,596,2,32.9,0.032,0.002,0.096,0.069,0.128,0.003,0.671,0,59,1,78,0.034,0.475,0.186,0.22,0.085,190,2,16.3,0.016,0.058,0.047,0.037,0.837,0.005,177,2,29.4,0,0.226,0.023,0.045,0.706,0
YNR075W,COS10,,DMA4275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR074C,AIF1,,DMA4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR073C,,,DMA4277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR072W,HXT17,,DMA4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR071C,,,DMA4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR260C,RGD1,,DMA428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR069C,BSC5,,DMA4280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR067C,DSE4,,DMA4281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR066C,,,DMA4282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR065C,,,DMA4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL014W,,,DMA4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL013W-A,,,DMA4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL013C,HRD1,,DMA4287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL012C,HTZ1,,DMA4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL011W,PLB3,,DMA4289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR259W,,,DMA429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL009C,MDM12,,DMA4290,,2057,2,7,0.008,0.02,0.004,0.02,0.016,0.001,0.93,0,1386,2,25.5,0.045,0.093,0.076,0.745,0.041,422,1,21.8,0.031,0.102,0.064,0.019,0.782,0.002,1785,2,15.5,0.007,0.024,0.057,0.062,0.845,0.004
YOL008W,COQ10,,DMA4291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL007C,CSI2,,DMA4292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL006C,TOP1,,DMA4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL004W,SIN3,,DMA4294,,355,2,15.5,0.014,0,0.056,0.045,0.025,0.011,0.845,0.003,453,2,21,0.124,0.071,0.011,0.79,0.004,145,2,58.6,0.103,0.097,0.352,0.028,0.414,0.007,137,2,63.5,0.007,0.022,0.219,0.365,0.365,0.022
YOL003C,PFA4,,DMA4295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL029C,,,DMA4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL028C,YAP7,,DMA4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL027C,MDM38,,DMA4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL042W,ERV46,,DMA43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR258C,SHG1,,DMA430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL025W,LAG2,,DMA4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL024W,,,DMA4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL020W,TAT2,,DMA4302,,1834,2,5.6,0.008,0.009,0.003,0.013,0.022,0.002,0.944,0,1527,2,26.3,0.048,0.107,0.066,0.737,0.042,686,2,26.8,0.044,0.112,0.093,0.015,0.732,0.004,1347,2,16,0.006,0.033,0.073,0.042,0.84,0.006
YOL019W,,,DMA4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL018C,TLG2,,DMA4304,,408,2,32.8,0.005,0.002,0.007,0.233,0.069,0.012,0.672,0,305,2,35.1,0.016,0.328,0.007,0.649,0,192,2,25,0.036,0.156,0.036,0.016,0.75,0.005,285,2,20.4,0.004,0.032,0.067,0.091,0.796,0.011
YOL017W,ESC8,,DMA4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL016C,CMK2,,DMA4306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL015W,IRC10,,DMA4307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL044W,PEX15,,DMA4309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR255W,MTC4,,DMA431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL043C,NTG2,,DMA4310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL042W,NGL1,,DMA4311,,633,2,15.3,0.003,0.003,0.009,0.041,0.095,0.002,0.847,0,340,2,31.2,0.038,0.221,0.038,0.688,0.015,406,2,22.7,0.037,0.113,0.052,0.02,0.773,0.005,797,2,17.4,0.005,0.089,0.02,0.054,0.826,0.006
YOL041C,NOP12,,DMA4312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL039W,RPP2A,,DMA4313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL037C,,,DMA4314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL036W,,,DMA4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL035C,,,DMA4316,,1246,2,11,0.016,0.026,0.006,0.021,0.041,0,0.89,0,576,2,28.3,0.043,0.182,0.035,0.717,0.023,563,2,24.7,0.062,0.071,0.083,0.027,0.753,0.004,257,2,24.5,0.004,0,0.078,0.148,0.755,0.016
YOL032W,OPI10,,DMA4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL031C,SIL1,,DMA4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL030W,GAS5,,DMA4319,,1768,2,6.5,0.005,0.018,0.007,0.014,0.021,0.001,0.935,0,587,2,15.7,0.019,0.121,0.012,0.843,0.005,340,2,19.4,0.029,0.091,0.05,0.024,0.806,0,711,2,12.1,0.003,0.03,0.039,0.049,0.879,0
YBR281C,DUG2,,DMA433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL055C,THI20,,DMA4334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL054W,PSH1,,DMA4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL053W,AIM39,,DMA4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL052C-A,DDR2,,DMA4337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL052C,SPE2,,DMA4338,,179,2,44.1,0.006,0,0.212,0.067,0.123,0.028,0.559,0.006,21,1,57.1,0.381,0.095,0.095,0.429,0,517,2,29.6,0.01,0.13,0.135,0.017,0.704,0.004,9,1,55.6,0,0.222,0.111,0.111,0.444,0.111
YOL050C,,,DMA4339,,399,2,18.8,0.023,0.02,0.008,0.03,0.103,0.005,0.812,0,659,2,37.8,0.021,0.291,0.042,0.622,0.023,353,2,43.3,0.017,0.15,0.266,0,0.567,0,340,2,55.9,0.038,0.003,0.194,0.309,0.441,0.015
YBR280C,SAF1,,DMA434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL049W,GSH2,,DMA4340,,1110,2,22.3,0.004,0.004,0.019,0.08,0.115,0.002,0.777,0,1026,2,15.5,0.023,0.117,0.007,0.845,0.008,482,2,29.7,0.041,0.106,0.104,0.041,0.703,0.004,594,2,22.4,0.019,0.056,0.064,0.081,0.776,0.005
YOL048C,RRT8,,DMA4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL047C,LDS2,,DMA4342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL046C,,,DMA4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL045W,PSK2,,DMA4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL067C,RTG1,,DMA4346,,1998,2,9.6,0.007,0.011,0.011,0.039,0.029,0.001,0.904,0,1033,2,19,0.045,0.105,0.015,0.81,0.024,930,2,27.1,0.033,0.082,0.142,0.011,0.729,0.003,1316,2,14.3,0.006,0.024,0.05,0.059,0.857,0.005
YOL065C,INP54,,DMA4347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL064C,MET22,,DMA4348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL063C,CRT10,,DMA4349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR278W,DPB3,,DMA435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL062C,APM4,,DMA4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL061W,PRS5,,DMA4351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL060C,MAM3,,DMA4352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL059W,GPD2,,DMA4353,,591,2,4.2,0.003,0,0.008,0.017,0.01,0.003,0.958,0,360,2,30.8,0.036,0.186,0.056,0.692,0.031,377,2,46.4,0.032,0.08,0.064,0.284,0.536,0.005,318,2,32.4,0.019,0.057,0.069,0.17,0.676,0.009
YOL058W,ARG1,,DMA4354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL057W,,,DMA4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL056W,GPM3,,DMA4356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL085C,,,DMA4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL084W,PHM7,,DMA4359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR277C,,,DMA436,,1070,2,12,0.006,0.008,0.009,0.05,0.047,0,0.88,0,968,2,32.1,0.153,0.121,0.028,0.679,0.02,1157,2,31.2,0.041,0.131,0.118,0.012,0.688,0.01,732,2,17.3,0.005,0.033,0.052,0.078,0.827,0.005
YOL083W,ATG34,,DMA4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL082W,ATG19,,DMA4361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL081W,IRA2,,DMA4362,,839,2,26,0.006,0.007,0.02,0.067,0.159,0.001,0.74,0,443,2,22.3,0.011,0.199,0.009,0.777,0.005,326,2,18.4,0.006,0.117,0.046,0.015,0.816,0,754,2,21.5,0.011,0.101,0.044,0.053,0.785,0.007
YOL080C,REX4,,DMA4363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL079W,,,DMA4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL075C,,,DMA4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL071W,SDH5,,DMA4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL070C,NBA1,,DMA4367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL068C,HST1,,DMA4368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR276C,PPS1,,DMA437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL101C,IZH4,,DMA4370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL099C,,,DMA4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL098C,,,DMA4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL095C,HMI1,,DMA4373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL093W,TRM10,,DMA4374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL092W,YPQ1,,DMA4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL091W,SPO21,,DMA4376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL090W,MSH2,,DMA4377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL089C,HAL9,,DMA4378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL088C,MPD2,,DMA4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR275C,RIF1,,DMA438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL087C,DUF1,,DMA4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL113W,SKM1,,DMA4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL112W,MSB4,,DMA4383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL111C,MDY2,,DMA4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL110W,SHR5,,DMA4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL109W,ZEO1,,DMA4386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL107W,,,DMA4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL106W,,,DMA4389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR274W,CHK1,,DMA439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL105C,WSC3,,DMA4390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL104C,NDJ1,,DMA4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL103W,ITR2,,DMA4392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL128C,YGK3,,DMA4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL126C,MDH2,,DMA4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL124C,TRM11,,DMA4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL122C,SMF1,,DMA4397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL121C,RPS19A,,DMA4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL119C,MCH4,,DMA4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL040C,CLN3,,DMA44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR273C,UBX7,,DMA440,,2392,2,9.2,0.008,0.029,0.006,0.023,0.026,0,0.908,0,913,2,19.4,0.049,0.101,0.027,0.806,0.016,740,2,29.7,0.034,0.112,0.135,0.009,0.703,0.007,926,2,17.4,0.009,0.035,0.075,0.055,0.826,0.001
YOL118C,,,DMA4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL117W,RRI2,,DMA4401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL116W,MSN1,,DMA4402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL114C,,,DMA4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL152W,FRE7,,DMA4406,,1352,2,7.9,0.011,0.018,0.007,0.018,0.024,0.001,0.921,0.001,744,2,28.6,0.099,0.078,0.074,0.714,0.035,686,2,23.6,0.042,0.086,0.09,0.01,0.764,0.007,1773,2,18.3,0.01,0.032,0.055,0.082,0.817,0.004
YOL151W,GRE2,,DMA4407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL150C,,,DMA4408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL147C,PEX11,,DMA4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR272C,HSM3,,DMA441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL141W,PPM2,,DMA4410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL138C,RTC1,,DMA4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL137W,BSC6,,DMA4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL136C,PFK27,,DMA4413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL132W,GAS4,,DMA4414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL131W,,,DMA4415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL129W,VPS68,,DMA4416,,1128,2,15,0.085,0.007,0.004,0.033,0.015,0.005,0.85,0,386,2,28.2,0.034,0.205,0.026,0.718,0.018,675,2,35.6,0.047,0.141,0.121,0.037,0.644,0.009,813,2,22.4,0.009,0.026,0.087,0.096,0.776,0.006
YOR006C,TSR3,,DMA4417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR005C,DNL4,,DMA4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR003W,YSP3,,DMA4419,,1424,2,6.9,0.01,0.019,0.007,0.009,0.022,0.001,0.931,0,635,2,40.3,0.247,0.099,0.038,0.597,0.019,534,2,25.3,0.037,0.101,0.088,0.019,0.747,0.007,174,2,25.3,0.017,0.023,0.023,0.19,0.747,0
YBR271W,EFM2,,DMA442,,1838,2,7.7,0.009,0.008,0.009,0.028,0.023,0.001,0.923,0,945,2,23,0.05,0.114,0.039,0.77,0.026,1107,2,21,0.042,0.073,0.071,0.015,0.79,0.008,2006,2,12.8,0.003,0.034,0.043,0.044,0.872,0.003
YOR002W,ALG6,,DMA4420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR001W,RRP6,,DMA4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL163W,,,DMA4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL162W,,,DMA4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL160W,,,DMA4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL159C,,,DMA4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL158C,ENB1,,DMA4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL155C,HPF1,,DMA4427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR016C,ERP4,,DMA4429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR270C,BIT2,,DMA443,,1804,2,11,0.008,0.022,0.021,0.029,0.029,0.001,0.89,0.001,583,1,20.9,0.026,0.115,0.039,0.791,0.029,670,2,30.3,0.031,0.143,0.107,0.012,0.697,0.009,1377,2,19.8,0.007,0.032,0.041,0.113,0.802,0.006
YOR015W,,,DMA4430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR014W,RTS1,,DMA4431,,402,2,25.1,0.042,0.007,0.1,0.022,0.07,0.01,0.749,0,652,2,17.8,0.061,0.071,0.028,0.822,0.018,268,2,14.6,0.015,0.071,0.037,0.019,0.854,0.004,278,1,30.9,0.018,0.248,0.029,0.011,0.691,0.004
YOR013W,IRC11,,DMA4432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR012W,,,DMA4433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR011W,AUS1,,DMA4434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR010C,TIR2,,DMA4435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR009W,TIR4,,DMA4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR008C-A,,,DMA4437,,2643,2,7.1,0.008,0.034,0.002,0.017,0.009,0.001,0.929,0,1391,2,19.1,0.031,0.132,0.012,0.809,0.016,1112,2,21.3,0.031,0.105,0.058,0.011,0.787,0.008,1336,2,13.8,0.004,0.037,0.067,0.025,0.862,0.004
YOR008C,SLG1,,DMA4438,,691,2,72.1,0.012,0.052,0.004,0.588,0.061,0.004,0.279,0,216,1,24.5,0.12,0.074,0.009,0.755,0.042,408,2,26.2,0.047,0.103,0.11,0.002,0.738,0,970,2,22.9,0.018,0.056,0.054,0.087,0.771,0.015
YOR007C,SGT2,,DMA4439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR028C,CIN5,,DMA4441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR027W,STI1,,DMA4442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR026W,BUB3,,DMA4443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR025W,HST3,,DMA4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR024W,,,DMA4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR023C,AHC1,,DMA4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR022C,,,DMA4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR021C,SFM1,,DMA4448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR019W,,,DMA4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR293W,VBA2,,DMA445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR018W,ROD1,,DMA4450,,779,2,10.8,0.013,0.006,0.001,0.022,0.064,0.001,0.892,0,633,2,28.3,0.047,0.136,0.079,0.717,0.021,707,2,28,0.069,0.066,0.102,0.025,0.72,0.017,1310,2,15,0.003,0.055,0.018,0.071,0.85,0.004
YOR017W,PET127,,DMA4451,,2203,2,13.4,0.009,0.014,0.054,0.029,0.028,0.001,0.866,0,1358,2,23.2,0.06,0.118,0.024,0.768,0.029,611,2,32.1,0.029,0.139,0.129,0.011,0.679,0.011,1193,2,16.6,0.013,0.032,0.057,0.061,0.834,0.003
YOR040W,GLO4,,DMA4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR039W,CKB2,,DMA4454,,355,2,40.3,0.09,0.028,0.135,0.107,0.028,0.014,0.597,0,96,2,27.1,0.094,0.115,0.021,0.729,0.042,552,2,28.3,0.054,0.083,0.074,0.058,0.717,0.013,584,2,23.5,0.019,0.168,0.024,0.021,0.765,0.003
YOR038C,HIR2,,DMA4455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR037W,CYC2,,DMA4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR035C,SHE4,,DMA4457,,383,2,15.1,0.005,0.013,0.003,0.016,0.11,0.005,0.849,0,263,2,14.8,0.068,0.065,0.015,0.852,0,32,1,90.6,0,0,0.594,0.313,0.094,0,179,2,86,0,0.006,0.039,0.816,0.14,0
YOR034C,AKR2,,DMA4458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR033C,EXO1,,DMA4459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR292C,,,DMA446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR032C,HMS1,,DMA4460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR031W,CRS5,,DMA4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR030W,DFG16,,DMA4462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR029W,,,DMA4463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR053W,,,DMA4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR052C,TMC1,,DMA4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR051C,ETT1,,DMA4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR050C,,,DMA4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR049C,RSB1,,DMA4469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR291C,CTP1,,DMA447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR047C,STD1,,DMA4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR045W,TOM6,,DMA4471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR044W,IRC23,,DMA4472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR043W,WHI2,,DMA4473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR042W,CUE5,,DMA4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
