Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YML024W,RPS17A,,DMA-SLOW293,,646,2,13.5,0.011,0,0.045,0.042,0.036,0.002,0.865,0,315,2,19.7,0.089,0.092,0.003,0.803,0.013,290,2,23.4,0.038,0.01,0.007,0.179,0.766,0,407,2,17.7,0.002,0.123,0.025,0.022,0.823,0.005
YML014W,TRM9,,DMA-SLOW294,,1182,2,12.9,0.008,0.005,0.051,0.034,0.024,0.008,0.871,0,741,2,47,0.297,0.05,0.105,0.53,0.018,296,2,24.3,0.057,0.037,0.074,0.054,0.757,0.02,542,2,16.4,0.011,0.109,0.009,0.028,0.836,0.007
YML009W-B,,,DMA-SLOW295,,198,2,23.2,0.01,0,0,0.025,0.192,0.005,0.768,0,,,,,,,,,260,2,68.8,0.035,0.088,0.542,0.015,0.312,0.008,361,2,53.2,0.033,0.014,0.15,0.321,0.468,0.014
YLR447C,VMA6,,DMA-SLOW296,,,,,,,,,,,,,301,1,31.2,0.086,0.183,0.023,0.688,0.02,141,2,36.9,0.064,0.043,0.227,0.028,0.631,0.007,207,2,38.2,0.063,0.087,0.058,0.155,0.618,0.019
YLR439W,MRPL4,,DMA-SLOW297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR417W,VPS36,,DMA-SLOW298,,148,1,60.1,0.243,0,0.007,0.209,0.142,0,0.399,0,291,2,87.6,0.852,0.01,0.003,0.124,0.01,104,2,93.3,0.837,0,0.058,0.029,0.067,0.01,254,2,24.4,0.02,0.114,0.016,0.079,0.756,0.016
YLR403W,SFP1,,DMA-SLOW299,,121,2,67.8,0,0,0.405,0.132,0.033,0.107,0.322,0,,,,,,,,,78,2,34.6,0.064,0,0.128,0.154,0.654,0,301,2,16.6,0.007,0.09,0.023,0.043,0.834,0.003
YBL012C,,,DMA-SLOW3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR173C,UMP1,,DMA-SLOW30,,668,2,6.3,0.007,0.001,0.018,0.025,0.003,0.006,0.937,0.001,371,2,37.5,0.31,0.054,0.003,0.625,0.008,224,2,22.8,0.085,0.022,0.04,0.067,0.772,0.013,326,2,25.5,0.052,0.104,0.046,0.043,0.745,0.009
YMR090W,,,DMA-SLOW302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR089C,YTA12,,DMA-SLOW303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR084W,,,DMA-SLOW304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR083W,ADH3,,DMA-SLOW305,,454,2,15.6,0.007,0.007,0.022,0.04,0.07,0.011,0.844,0,584,2,33.2,0.039,0.238,0.033,0.668,0.022,162,2,38.9,0.043,0.074,0.222,0.025,0.611,0.025,473,2,20.5,0.002,0.053,0.066,0.078,0.795,0.006
YMR082C,,,DMA-SLOW306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR081C,ISF1,,DMA-SLOW307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR077C,VPS20,,DMA-SLOW308,,485,2,54.4,0.14,0.008,0.12,0.151,0.111,0.014,0.456,0,210,1,92.4,0.91,0.005,0,0.076,0.01,217,2,94.9,0.756,0,0.065,0.101,0.051,0.028,340,2,17.9,0.006,0.097,0.024,0.044,0.821,0.009
YMR072W,ABF2,,DMA-SLOW309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR163W,EXO5,,DMA-SLOW31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR071C,TVP18,,DMA-SLOW310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR069W,NAT4,,DMA-SLOW311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR062C,ARG7,,DMA-SLOW312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR267W,PPA2,,DMA-SLOW313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR257C,PET111,,DMA-SLOW314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR242C,RPL20A,,DMA-SLOW315,,631,2,21.1,0.003,0.008,0.024,0.108,0.067,0.002,0.789,0,345,2,38.3,0.038,0.296,0.026,0.617,0.023,202,2,19.3,0.04,0.03,0.045,0.059,0.807,0.02,505,2,20.8,0.014,0.164,0.016,0.012,0.792,0.002
YMR228W,MTF1,,DMA-SLOW317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR193W,MRPL24,,DMA-SLOW318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR184W,ADD37,,DMA-SLOW319,,2134,2,10.3,0.007,0.01,0.008,0.046,0.031,0,0.897,0,1600,2,13.1,0.023,0.099,0.003,0.869,0.006,831,2,27.1,0.019,0.131,0.111,0.007,0.729,0.002,1611,2,21.9,0.004,0.029,0.067,0.113,0.781,0.007
YMR158W,MRPS8,,DMA-SLOW320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR151W,YIM2,,DMA-SLOW321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR150C,IMP1,,DMA-SLOW322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR142C,RPL13B,,DMA-SLOW323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR125W,STO1,,DMA-SLOW324,,747,2,15.8,0.001,0.001,0.043,0.054,0.05,0.009,0.842,0,,,,,,,,,749,2,24.4,0.049,0.063,0.087,0.043,0.756,0.003,683,2,17.6,0.007,0.044,0.056,0.064,0.824,0.004
YNL184C,,,DMA-SLOW325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL177C,MRPL22,,DMA-SLOW326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL160W,YGP1,,DMA-SLOW327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL148C,ALF1,,DMA-SLOW328,,291,2,21.3,0.014,0.003,0.021,0.093,0.055,0.027,0.787,0,403,2,25.8,0.032,0.176,0.027,0.742,0.022,137,2,36.5,0.073,0.117,0.117,0.058,0.635,0,126,2,38.1,0.008,0.175,0.063,0.127,0.619,0.008
YBR127C,VMA2,,DMA-SLOW33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL133C,FYV6,,DMA-SLOW330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL084C,END3,,DMA-SLOW331,,1593,2,9,0.013,0.006,0.003,0.014,0.055,0,0.91,0.001,443,2,20.3,0.14,0.025,0.02,0.797,0.018,303,2,94.4,0.007,0.756,0.132,0.04,0.056,0.01,733,2,76,0.1,0.014,0.445,0.164,0.24,0.038
YNL073W,MSK1,,DMA-SLOW332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL005C,MRP7,,DMA-SLOW333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR293C,HER2,,DMA-SLOW334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR287C,DSS1,,DMA-SLOW335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
